Date Created,Grades,Year,Baltimore City,Allegany County,Anne Arundel County,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,St. Mary's County,Somerset County,Talbot County,Washington County,Wicomico County,Worcester County,Maryland
08/18/2018,6-8,2012,"16,995","1,923","16,911","22,771","3,765","1,182","6,055","3,485","5,823",997,"8,914",915,"8,384","11,501",444,"31,529","25,822","1,727","3,709",614,931,"5,011","3,031","1,463","183,902"
08/18/2018,9-12,2012,"23,372","2,664","22,650","31,034","5,425","1,522","8,899","4,672","8,972","1,296","12,608","1,216","11,890","16,700",621,"45,150","35,938","2,315","5,048",731,"1,353","6,718","3,936","2,005","256,735"
08/18/2018,K-5,2012,"39,490","3,822","36,027","49,464","6,733","2,516","11,370","6,850","10,938","2,155","17,867","1,787","16,834","22,768",946,"68,322","56,375","3,461","7,955","1,384","1,993","10,185","6,911","2,791","388,944"
08/18/2018,Pre-K,2012,"4,890",520,"2,182","3,658",400,365,363,627,911,270,"1,067",86,760,"1,084",119,"3,779","5,602",249,741,214,293,489,611,391,"29,671"
08/18/2018,6-8,2013,"17,062","1,951","17,073","22,956","3,794","1,215","6,115","3,548","5,857",998,"9,018",876,"8,576","11,909",446,"32,450","26,492","1,763","3,795",614,974,"5,095","2,974","1,420","186,971"
08/18/2018,9-12,2013,"22,882","2,570","22,523","30,740","5,337","1,501","8,633","4,694","8,680","1,273","12,435","1,190","11,601","16,417",599,"45,132","35,174","2,325","5,075",734,"1,321","6,676","3,941","1,991","253,444"
08/18/2018,K-5,2013,"40,023","3,828","36,736","50,828","6,728","2,519","11,211","6,862","10,997","2,242","18,084","1,720","16,895","23,355",946,"69,943","57,829","3,384","8,034","1,380","2,004","10,214","6,925","2,855","395,542"
08/18/2018,Pre-K,2013,"4,763",523,"2,157","3,667",362,310,372,720,921,253,"1,111",100,770,"1,125",126,"3,770","5,641",244,937,217,238,510,591,383,"29,811"
08/18/2018,6-8,2014,"17,050","1,888","17,380","23,436","3,806","1,211","6,039","3,446","5,811","1,011","9,068",840,"8,440","12,296",439,"33,488","26,916","1,747","3,847",626,"1,007","5,059","2,980","1,473","189,304"
08/18/2018,9-12,2014,"22,341","2,590","22,712","30,925","5,228","1,550","8,512","4,692","8,617","1,275","12,514","1,150","11,557","16,485",594,"45,633","35,495","2,296","5,008",729,"1,334","6,670","3,988","1,996","253,891"
08/18/2018,K-5,2014,"40,774","3,879","37,346","51,717","6,598","2,532","10,966","6,800","10,991","2,297","18,098","1,720","16,768","23,730",934,"71,199","59,372","3,437","8,110","1,378","2,031","10,044","7,003","2,805","400,529"
08/18/2018,Pre-K,2014,"4,811",508,"2,080","3,752",399,299,362,743,839,213,"1,101",148,772,"1,174",139,"4,115","5,793",244,922,205,258,554,574,380,"30,385"
08/18/2018,6-8,2015,"16,960","1,899","17,769","23,936","3,801","1,237","6,086","3,443","5,914","1,019","9,035",875,"8,651","12,730",447,"34,411","27,425","1,828",640,"3,867","1,002","5,087","3,014","1,407","192,483"
08/18/2018,9-12,2015,"21,746","2,559","22,671","31,015","5,165","1,522","8,355","4,720","8,409","1,251","12,355","1,121","11,311","16,621",566,"46,122","35,393","2,237",748,"4,929","1,354","6,606","4,084","2,035","252,895"
08/18/2018,K-5,2015,"40,269","3,859","37,777","52,361","6,641","2,546","10,737","6,938","11,149","2,245","18,080","1,686","16,675","24,283",896,"71,505","60,256","3,396","1,328","8,150","2,045","10,031","7,105","2,830","402,788"
08/18/2018,Pre-K,2015,"4,691",495,"2,170","3,827",410,297,373,758,835,224,"1,185",174,811,"1,236",120,"4,342","5,865",256,192,995,224,579,587,388,"31,034"
08/18/2018,6-8,2016,"16,891","1,855","17,890","24,512","3,722","1,241","5,947","3,438","5,960","1,044","9,319",897,"8,508","12,915",438,"35,267","27,698","1,787",638,"3,919",970,"5,071","3,046","1,450","194,423"
08/18/2018,9-12,2016,"21,381","2,504","22,858","31,167","5,165","1,605","8,278","4,689","8,348","1,249","12,543","1,113","11,407","16,814",573,"47,450","36,099","2,325",769,"5,024","1,386","6,710","4,142","2,025","255,624"
08/18/2018,K-5,2016,"39,594","3,853","38,378","52,637","6,665","2,542","10,641","6,850","11,214","2,269","18,249","1,628","16,671","24,619",880,"71,973","61,246","3,380","1,366","8,185","1,966","10,120","7,102","2,838","404,866"
08/18/2018,Pre-K,2016,"4,488",490,"2,271","3,831",398,317,390,656,868,254,"1,206",195,840,"1,290",110,"4,320","5,771",259,185,939,271,644,599,354,"30,946"
09/29/2020,6-8,2017,"16,891","1,855","17,890","24,512","3,722","1,241","5,947","3,438","5,960","1,044","9,319",897,"8,508","12,915",438,"35,267","27,698","1,787","3,919",638,970,"5,071","3,046","1,450","194,423"
09/29/2020,9-12,2017,"21,381","2,504","22,858","31,167","5,165","1,605","8,278","4,689","8,348","1,249","12,543","1,113","11,407","16,814",573,"47,450","36,099","2,325","5,024",769,"1,386","6,710","4,142","2,025","255,624"
09/29/2020,K-5,2017,"39,594","3,853","38,378","52,637","6,665","2,542","10,641","6,850","11,214","2,269","18,249","1,628","16,671","24,619",880,"71,973","61,246","3,380","8,185","1,366","1,966","10,120","7,102","2,838","404,866"
09/29/2020,Pre-K,2017,"4,488",490,"2,271","3,831",398,317,390,656,868,254,"1,206",195,840,"1,290",110,"4,320","5,771",259,939,185,271,644,599,354,"30,946"
09/29/2020,6-8,2018,"17,148","1,853","18,746","25,299","3,720","1,316","5,863","3,557","6,251","1,103","9,976",895,"8,796","13,448",416,"36,568","29,543","1,802","4,093",617,"1,015","5,214","3,078","1,500","201,817"
09/29/2020,9-12,2018,"20,653","2,447","23,389","32,150","5,134","1,647","8,250","4,568","8,560","1,312","12,925","1,154","11,372","17,769",563,"49,656","37,126","2,378","5,157",763,"1,428","6,743","4,204","2,044","261,392"
09/29/2020,K-5,2018,"37,159","3,770","38,848","52,462","6,642","2,554","10,712","6,559","11,508","2,133","18,554","1,613","16,706","25,353",821,"71,877","60,855","3,321","7,793","1,351","1,953","9,853","7,021","2,864","402,282"
09/29/2020,Pre-K,2018,"4,337",469,"2,324","3,903",440,312,354,623,789,237,"1,259",180,952,"1,337",112,"4,579","5,143",248,956,199,278,871,646,402,"30,950"
09/29/2020,6-8,2019,"17,431","1,894","19,427","25,885","3,746","1,381","5,857","3,575","6,504","1,123","10,303",882,"9,143","13,838",421,"37,708","30,993","1,848","4,123",619,"1,048","5,297","3,222","1,508","207,776"
09/29/2020,9-12,2019,"21,074","2,380","23,887","33,006","5,141","1,651","8,184","4,569","8,619","1,278","13,192","1,142","11,402","18,171",568,"50,794","38,181","2,408","5,236",774,"1,475","6,775","4,211","2,021","266,139"
09/29/2020,K-5,2019,"36,288","3,708","39,290","52,183","6,710","2,476","10,933","6,448","11,459","2,086","18,934","1,605","16,870","25,499",812,"72,085","61,505","3,249","7,779","1,297","1,929","9,793","7,036","2,921","402,895"
09/29/2020,Pre-K,2019,"4,394",455,"2,380","3,964",425,366,371,664,939,223,"1,399",205,"1,014","1,360",117,"4,680","5,283",259,945,215,251,"1,128",734,432,"32,203"
